pol,text
neutral,Yes i am going from school have class till 5 can u meet me at law fac i have to fetch my mum at 930 pm so we have quite a lot of time
neutral,can u tape the match for me?  i\u2019ll rush over straight after the dinner
neutral,Too many people at my house my relatives are here as well besides the china people
negative,Yea I have spoken to him liao. Indeed he is upset over dat..
positive,Haha... I want to see. E macdonalds here cheaper. Yum yum.
neutral,I\u2019m going down now liao\u002c with my fren... Erm... got 64mb one? 94 is the cheapest around liao is it? y not i later go around find some more?
neutral,Ya\u002c ok for me... Erm can let me know the details like the level\u002c timing for tuition\u002c per wk how many times\u002c pay wise n location? btw\u002c the student is ur?
negative,He told u i\u2019m considering liao mah. I duno\u002c i not v interested in e show n i dont wan go out on both weekend. Sunday we meeting 4 lunch w e rest right.Ok we meet 5 orchard shop shop eat dinner. Most prob i b at John Little at 4.30.
positive,Will you be free on sunday night? I just met sebastian. We suggest a small class gathering at the studio. Play cards...gamble a bit.... Chit chat.... Blah Blah... Hope you guys can make it.
neutral,tom\u002c u think it is a relative\u2019s house or restauratn?
neutral,hey jules\u002c will u be free for soccer on sunday?  bishan braddel
negative,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
neutral,Hmmm\u002c my fren told me... I dunno wat\u2019s e plan... Wat time is ur tuition...
neutral,Dear sis\u002cpls pray4my spritual life\u002ci feel its getg more dry\u002ci bcom more self-centred instead of christ-centred\u002cdaily life\u2019s vv messy...
neutral,Then u drive lor.
negative,Nothing but v weird lor. Got another guy can sit w us then he go squeeze w other table. Cant wait till he do something then i react mah... Must stop him first.
positive,Then u get ur most intimate photo w him then put my face on urs then send 2 me... :D
neutral,I tot it\u2019s my group mate... Lucky i havent reply... Wat time do Ã¼ need to leave...
neutral,yo school starts must meet for lunch k?
neutral,i meet u at the sci canteen after my tutorial at 1pm k??
neutral,I\u2019ve reached home n i bathe liao... U can call me now...
negative,I\u2019ve just got back. So sorry I forgot my promise to u. What about talking tomorrow?
neutral,Fine w me.But fri we go\u002c they say is a long queue thats why we didnt go... U need e flash book? If u wan\u002c remind me tonight then i bring tomw
positive,Glad to hear you are coping fine in uni... So\u002c wat interview did you go to? How did it go?
neutral,Erm...... the fuji one is xD one if i din remember wrongly... you got any lobang?
neutral,Maybe ard 6. Think i stop wk at 5 then go down should be around 6 liao lor..
positive,"Hee hee... <*\u2019-\u2019*> thanks thanks... Hope it\u2019s all relevant... Take c??re and see you on Sunday! c\""""\u002c)"
negative,Why sad. I mean wat he tell u? He got grumble abt me hee... I busy lah\u002c but wanted 2 buy wk clothes but now go out w him i also cant shop.
neutral,Ã give me some time to walk there.
neutral,Today lunch\u002c e whole team eat together at e coffee shop\u002c then we split 3 tables\u002c end me n him only at 1 table. C now i hv 2 keep myself occupy by msg u.
negative,Sorry I think tonight cannot\u002c and I not feeling well after my rest.
neutral,Yup bringing clothes... Bring light one lor... Yar wearing shorts...
neutral,Hey... Xuhui cant make it today... So how? Shall we change day or continue
neutral,actually i tink chunyan canot cfm wad time to go cos she gotta hand in assgt sat afternoon. btw wad areu gonna do so early in orchard?
neutral,Hey... I\u2019ll go to e lect w suying first k... We\u2019ll go and book seats... I dun have lab oredi...
positive,haha.. try some more
neutral,Me n ron meeting 2 go buy something. U wan join us?
positive,Not bad\u002cbeen slacking and doing lotsa sleeping...hee..how bout you? Oh anyway\u002c wanna go blading together some day girl?
negative,Ya... Eng exam on e 14 lor... But eng dun really have to prepare lor... I wan to get earlier date but so fast no more slots\u002c so horrible...
neutral,I wanted to ask Ã¼ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
neutral,I m in singapore on my way to far east buy the thing loh.
neutral,Oh ok. Got check e price? Wat its like?
neutral,You having dinner with parents? wanna go parkway for dinner?
negative,Huh but i cant go 2 ur house empty handed right?
negative,Ya... She wans... But now so late dunno still can arrange 4 tmr anot...
negative,Albero purchased P $260k Ng T H from B90 drop to B74 Fri carry 52.5. 1 whole yrs can not win. wet ever won 1600. hoping newspaper do not rec
neutral,Eh hon wai here. Take note of my number u lout
neutral,Hey meet me at law fac about 5 can
positive,I have received it. thanks!
positive,I want 2 eat you tiao & dou hua. Aiya\u002c cannot come Geylang must eat spicy Muslim stuff? Curry\u002c otak\u002c yum yum? Geylang sepak tu Geylang? I love Geylang?
